Afghanistan,Yes
Albania,Yes
Algeria,Yes
American Samoa,No
Andorra,Yes
Angola,No
Anguilla,No
Antigua and Barbuda,No
Argentina,Yes
Armenia,No
Aruba,No
Australia,Yes
Austria,Yes
Azerbaijan,Yes
Bahamas,Yes
Bahrain,Yes
Bangladesh,No
Barbados,Yes
Belarus,Yes
Belgium,Yes
Belize,Yes
Benin,Yes
Bermuda,Yes
Bhutan,Yes
Bolivia (Plurinational State of),No
Bonaire,No
Bosnia and Herzegovina,No
Botswana,Yes
Brazil,Yes
British Virgin Islands,No
Brunei Darussalam,Yes
Bulgaria,Yes
Burkina Faso,Yes
Burundi,Yes
Cabo Verde,Yes
Cambodia,Yes
Cameroon,No
Canada,Yes
Cayman Islands,No
Central African Republic,Yes
Chad,Yes
Chile,Yes
China,Yes
Colombia,Yes
Comoros,No
Congo,Yes
Cook Islands,No
Costa Rica,Yes
C?te d¡¯Ivoire,Yes
Croatia,Yes
Cuba,Yes
Cura?ao,No
Cyprus,Yes
Czechia,Yes
Democratic People's Republic of Korea,No
Democratic Republic of the Congo,No
Denmark,No
Djibouti,Yes
Dominica,Yes
Dominican Republic,No
Ecuador,No
Egypt,Yes
El Salvador,No
Equatorial Guinea,No
Eritrea,No
Estonia,No
Eswatini,Yes
Ethiopia,Yes
Falkland Islands (Malvinas),No
Faroe Islands,Yes
Fiji,Yes
Finland,No
France,Yes
French Guiana,No
French Polynesia,No
Gabon,Yes
Gambia,Yes
Georgia,Yes
Germany,Yes
Ghana,Yes
Gibraltar,No
Greece,Yes
Greenland,Yes
Grenada,No
Guadeloupe,No
Guam,Yes
Guatemala,No
Guernsey,No
Guinea,Yes
Guinea-Bissau,No
Guyana,Yes
Haiti,Yes
Holy See,No
Honduras,No
Hungary,Yes
Iceland,Yes
India,Yes
Indonesia,No
Iran (Islamic Republic of),Yes
Iraq,No
Ireland,Yes
Isle of Man,No
Israel,Yes
Italy,Yes
Jamaica,Yes
Japan,No
Jersey,No
Jordan,Yes
Kazakhstan,Yes
Kenya,Yes
Kiribati,No
Kosovo[1],Yes
Kuwait,Yes
Kyrgyzstan,Yes
Lao People's Democratic Republic,Yes
Latvia,Yes
Lebanon,No
Lesotho,No
Liberia,Yes
Libya,No
Liechtenstein,No
Lithuania,Yes
Luxembourg,Yes
Madagascar,No
Malawi,Yes
Malaysia,Yes
Maldives,No
Mali,Yes
Malta,Yes
Marshall Islands,No
Martinique,No
Mauritania,Yes
Mauritius,Yes
Mayotte,No
Mexico,Yes
Micronesia (Federated States of),No
Monaco,Yes
Mongolia,Yes
Montenegro,No
Montserrat,No
Morocco,No
Mozambique,Yes
Myanmar,Yes
Namibia,Yes
Nauru,No
Nepal,Yes
Netherlands,Yes
New Caledonia,No
New Zealand,Yes
Nicaragua,No
Niger,No
Nigeria,Yes
Niue,No
North Macedonia,No
Northern Mariana Islands (Commonwealth of the),No
Norway,Yes
"occupied Palestinian territory, including east Jerusalem",No
Oman,Yes
Other,No
Pakistan,Yes
Palau,No
Panama,Yes
Papua New Guinea,Yes
Paraguay,Yes
Peru,Yes
Philippines,Yes
Pitcairn Islands,No
Poland,No
Portugal,Yes
Puerto Rico,Yes
Qatar,Yes
Republic of Korea,Yes
Republic of Moldova,Yes
R¨¦union,No
Romania,Yes
Russian Federation,Yes
Rwanda,Yes
Saba,No
Saint Barth¨¦lemy,No
Saint Helena,No
Saint Kitts and Nevis,No
Saint Lucia,No
Saint Martin,No
Saint Pierre and Miquelon,No
Saint Vincent and the Grenadines,No
Samoa,No
San Marino,Yes
Sao Tome and Principe,No
Saudi Arabia,Yes
Senegal,Yes
Serbia,Yes
Seychelles,Yes
Sierra Leone,Yes
Singapore,Yes
Sint Eustatius,No
Sint Maarten,No
Slovakia,Yes
Slovenia,Yes
Solomon Islands,No
Somalia,No
South Africa,Yes
South Sudan,Yes
Spain,Yes
Sri Lanka,Yes
Sudan,No
Suriname,No
Sweden,Yes
Switzerland,Yes
Syrian Arab Republic,No
Tajikistan,No
Thailand,Yes
The United Kingdom,Yes
Timor-Leste,Yes
Togo,Yes
Tokelau,No
Tonga,No
Trinidad and Tobago,Yes
Tunisia,Yes
Turkey,Yes
Turkmenistan,No
Turks and Caicos Islands,No
Tuvalu,No
Uganda,Yes
Ukraine,Yes
United Arab Emirates,Yes
United Republic of Tanzania,No
United States of America,No
United States Virgin Islands,Yes
Uruguay,No
Uzbekistan,Yes
Vanuatu,Yes
Venezuela (Bolivarian Republic of),No
Viet Nam,Yes
Wallis and Futuna,No
Yemen,No
Zambia,Yes
Zimbabwe,No
